1333161902	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333161902	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333162201	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333162201	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333162201	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333162201	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333162503	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333162503	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333162503	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333162503	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333162802	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333162802	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333162802	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333162802	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333163104	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333163104	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333163104	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333163104	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333163401	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333163402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333163402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333163402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333163701	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333163701	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333163701	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333163701	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333164001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333164001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333164001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333164001	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333164302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333164302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333164302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333164302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333164602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333164602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333164602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333164602	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333164904	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333164904	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333164904	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333164904	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333165201	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333165201	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333165201	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333165201	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333165502	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333165502	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333165502	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333165502	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333165802	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333165802	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333165802	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333165802	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333166102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333166102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333166102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333166102	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333166402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333166402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333166402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333166402	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333166704	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333166704	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333166704	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333166704	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333167002	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333167002	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333167002	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333167002	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333167302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333167302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333167302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333167302	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333167601	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
1333167601	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_heartbeat_data.pl
1333167601	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_load_data.pl
1333167601	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_qstat_data.pl
1333167902	2	0	http://brazos.tamu.edu:80/~ext-jww004/cgi-bin/tier3/mon/report_condorq_data.pl
